"Step","baseline - train/contrastive_loss","baseline - train/contrastive_loss__MIN","baseline - train/contrastive_loss__MAX","20_most_difficult - train/contrastive_loss","20_most_difficult - train/contrastive_loss__MIN","20_most_difficult - train/contrastive_loss__MAX","90_most_difficult - train/contrastive_loss","90_most_difficult - train/contrastive_loss__MIN","90_most_difficult - train/contrastive_loss__MAX","70_most_difficult - train/contrastive_loss","70_most_difficult - train/contrastive_loss__MIN","70_most_difficult - train/contrastive_loss__MAX","30_most_difficult - train/contrastive_loss","30_most_difficult - train/contrastive_loss__MIN","30_most_difficult - train/contrastive_loss__MAX","50_most_difficult - train/contrastive_loss","50_most_difficult - train/contrastive_loss__MIN","50_most_difficult - train/contrastive_loss__MAX","minipile_style - train/contrastive_loss","minipile_style - train/contrastive_loss__MIN","minipile_style - train/contrastive_loss__MAX","10_most_difficult - train/contrastive_loss","10_most_difficult - train/contrastive_loss__MIN","10_most_difficult - train/contrastive_loss__MAX","txt_top5_all_quality_clusters - train/contrastive_loss","txt_top5_all_quality_clusters - train/contrastive_loss__MIN","txt_top5_all_quality_clusters - train/contrastive_loss__MAX","txt_top5_english_quality_clusters - train/contrastive_loss","txt_top5_english_quality_clusters - train/contrastive_loss__MIN","txt_top5_english_quality_clusters - train/contrastive_loss__MAX"
"6","8.374866485595703","8.374866485595703","8.374866485595703","8.37814998626709","8.37814998626709","8.37814998626709","8.376333236694336","8.376333236694336","8.376333236694336","8.378832817077637","8.378832817077637","8.378832817077637","8.376968383789062","8.376968383789062","8.376968383789062","8.379253387451172","8.379253387451172","8.379253387451172","8.386190414428711","8.386190414428711","8.386190414428711","8.377572059631348","8.377572059631348","8.377572059631348","8.3897705078125","8.3897705078125","8.3897705078125","8.384324073791504","8.384324073791504","8.384324073791504"
"14","8.180059432983398","8.180059432983398","8.180059432983398","8.213764190673828","8.213764190673828","8.213764190673828","8.178412437438965","8.178412437438965","8.178412437438965","8.20042896270752","8.20042896270752","8.20042896270752","8.229471206665039","8.229471206665039","8.229471206665039","8.209813117980957","8.209813117980957","8.209813117980957","8.03837776184082","8.03837776184082","8.03837776184082","8.220229148864746","8.220229148864746","8.220229148864746","8.16086196899414","8.16086196899414","8.16086196899414","8.049112319946289","8.049112319946289","8.049112319946289"
"22","8.051189422607422","8.051189422607422","8.051189422607422","8.008549690246582","8.008549690246582","8.008549690246582","7.998758316040039","7.998758316040039","7.998758316040039","8.090933799743652","8.090933799743652","8.090933799743652","8.099061012268066","8.099061012268066","8.099061012268066","8.13419246673584","8.13419246673584","8.13419246673584","7.739566326141357","7.739566326141357","7.739566326141357","7.976802825927734","7.976802825927734","7.976802825927734","8.014524459838867","8.014524459838867","8.014524459838867","7.8045525550842285","7.8045525550842285","7.8045525550842285"
"30","7.891237258911133","7.891237258911133","7.891237258911133","7.988499641418457","7.988499641418457","7.988499641418457","7.988597869873047","7.988597869873047","7.988597869873047","7.977964401245117","7.977964401245117","7.977964401245117","8.050299644470215","8.050299644470215","8.050299644470215","7.971189498901367","7.971189498901367","7.971189498901367","7.5078864097595215","7.5078864097595215","7.5078864097595215","7.956254005432129","7.956254005432129","7.956254005432129","7.755447864532471","7.755447864532471","7.755447864532471","7.485135555267334","7.485135555267334","7.485135555267334"
"38","7.8316826820373535","7.8316826820373535","7.8316826820373535","7.8949432373046875","7.8949432373046875","7.8949432373046875","7.894556999206543","7.894556999206543","7.894556999206543","7.863507270812988","7.863507270812988","7.863507270812988","7.935433387756348","7.935433387756348","7.935433387756348","7.864424705505371","7.864424705505371","7.864424705505371","7.356682777404785","7.356682777404785","7.356682777404785","7.93166446685791","7.93166446685791","7.93166446685791","7.7829670906066895","7.7829670906066895","7.7829670906066895","7.442325115203857","7.442325115203857","7.442325115203857"
"46","7.701760292053223","7.701760292053223","7.701760292053223","7.785616874694824","7.785616874694824","7.785616874694824","7.806917190551758","7.806917190551758","7.806917190551758","7.808434963226318","7.808434963226318","7.808434963226318","7.854745864868164","7.854745864868164","7.854745864868164","7.842834949493408","7.842834949493408","7.842834949493408","7.249840259552002","7.249840259552002","7.249840259552002","7.784576416015625","7.784576416015625","7.784576416015625","7.687374591827393","7.687374591827393","7.687374591827393","6.779670715332031","6.779670715332031","6.779670715332031"
"54","7.6058220863342285","7.6058220863342285","7.6058220863342285","7.706851005554199","7.706851005554199","7.706851005554199","7.72415828704834","7.72415828704834","7.72415828704834","7.746216297149658","7.746216297149658","7.746216297149658","7.754671573638916","7.754671573638916","7.754671573638916","7.729557037353516","7.729557037353516","7.729557037353516","7.117743492126465","7.117743492126465","7.117743492126465","6.826376914978027","6.826376914978027","6.826376914978027","7.560525894165039","7.560525894165039","7.560525894165039","6.805861473083496","6.805861473083496","6.805861473083496"
"62","7.558952331542969","7.558952331542969","7.558952331542969","7.6216630935668945","7.6216630935668945","7.6216630935668945","7.687587738037109","7.687587738037109","7.687587738037109","7.656600475311279","7.656600475311279","7.656600475311279","7.702838897705078","7.702838897705078","7.702838897705078","7.786231994628906","7.786231994628906","7.786231994628906","6.928375720977783","6.928375720977783","6.928375720977783","7.585712909698486","7.585712909698486","7.585712909698486","7.243658065795898","7.243658065795898","7.243658065795898","7.264679431915283","7.264679431915283","7.264679431915283"
"70","7.593244552612305","7.593244552612305","7.593244552612305","7.72163200378418","7.72163200378418","7.72163200378418","7.691747665405273","7.691747665405273","7.691747665405273","7.661046504974365","7.661046504974365","7.661046504974365","7.775012016296387","7.775012016296387","7.775012016296387","7.774614334106445","7.774614334106445","7.774614334106445","7.112778663635254","7.112778663635254","7.112778663635254","7.8158674240112305","7.8158674240112305","7.8158674240112305","7.578062057495117","7.578062057495117","7.578062057495117","6.888050079345703","6.888050079345703","6.888050079345703"
"78","7.3800249099731445","7.3800249099731445","7.3800249099731445","7.418244361877441","7.418244361877441","7.418244361877441","7.643970489501953","7.643970489501953","7.643970489501953","7.572378158569336","7.572378158569336","7.572378158569336","7.576971530914307","7.576971530914307","7.576971530914307","7.637901782989502","7.637901782989502","7.637901782989502","6.261695861816406","6.261695861816406","6.261695861816406","6.175054550170898","6.175054550170898","6.175054550170898","7.358742713928223","7.358742713928223","7.358742713928223","6.938246726989746","6.938246726989746","6.938246726989746"
